Date,AAPL,ABB,ADBE,AEP,AMGN,AMZN,BA,BBD,BP,BTI,C,CAT,CB,CELG,CODI,COST,CRH,CVS,D,E,EIX,EOG,ETN,FDX,GOOGL,GSK,HMC,HON,HRG,IEP,INTC,JNJ,JPM,MDLZ,MS,MSFT,NEE,NFLX,NVDA,NVS,OKE,OXY,PICO,REX,RIO,SAP,SCHW,SU,TM,TSM,UN,WBA,WEC,WMT
2008-02-26,376222000,11741600,6541500,2521900,8496300,9891300,5171700,19563900,3689000,322800,10763900,6203900,2486000,8654200,123000,6913800,78100,9259200,2904800,1107700,1917900,13196000,3070200,1989300,46528000,1696900,495100,5302000,2700,19200,81112100,9219200,24989300,8941600,15693400,108923500,2060600,16592100,14135500,1787700,1952700,8434100,128400,88000,828400,2026300,14249300,4669600,513000,15799000,1022300,4853600,960000,31028600
2008-02-27,368784500,9708300,6385200,1761100,11314200,8930500,4675100,19363600,3861200,207200,8775700,7163300,2746100,9559800,72500,10423700,54700,11798800,3385400,935000,2276000,6534800,3702600,1666800,20223500,1280700,384100,5094500,0,17800,80981700,9569700,38566000,6207600,12172500,75199500,2180500,41283200,13445400,3376000,1811900,8594100,75600,120400,1144800,1745200,11564700,4324000,749200,14249900,1544300,3998500,1295000,29191300
2008-02-28,404563600,6103600,5330500,1646400,10248500,13167800,5727400,9841400,5152900,144200,6221600,6024500,1752600,9517400,130500,5432600,93000,10632400,2154200,990200,3146400,32843600,4419200,2049000,13160600,1287100,309300,4464200,500,48400,56138700,8545200,36606500,6922700,10733600,83002900,2321300,35182700,12590200,2175100,1483900,6371200,142000,59800,762800,1645400,11937900,5715000,410900,13183500,1039000,4318500,1247400,18397000
2008-02-29,313870200,4940000,12307400,3364500,17399400,11664600,7667800,11629900,3875700,204400,10000400,8823500,2721900,12745200,163800,5399100,98200,11709200,3954300,625800,2908600,10887000,3604600,2791100,18831900,2173400,405100,4141500,300,25700,77164100,12028300,36856600,9556600,15564300,117411400,3807000,16774800,13514400,1832900,2455200,7138300,218200,52100,1229200,1808700,14111600,3508800,534000,9337200,1477700,5239500,2986400,20219400
2008-03-03,398260800,5307300,12553200,3574700,10884000,13721100,9575400,13370500,4706500,220800,10214300,6104700,2644300,9178000,107300,6205000,109700,7825600,3047700,1013600,2021400,10478200,4117400,2314000,15093800,1293500,592300,3872100,3200,22000,75603600,8841200,31481900,7876000,16895200,76544300,3052200,12994800,11225700,1294900,2156400,6766800,192300,58400,958800,2518100,13247600,5052200,803800,14820100,1836300,6173400,1920200,19752100
2008-03-04,446345900,4841500,8178800,3514600,6661500,16703600,8209200,19973000,5293900,278000,18768100,7998400,4610200,15640200,167400,6800800,53100,11367200,4652800,1381400,2126200,10105600,4651600,3327600,27216100,1725100,1078700,4603200,5000,30100,124099900,14347700,56449300,11521700,13558800,86925600,2305000,8935500,19472200,1691700,2838100,8388500,126800,47500,1338000,2901600,14525800,5351200,902100,28308700,1854000,8131900,2226200,24989100
2008-03-05,305459000,4247200,10868700,2511200,8630500,11126400,5669600,11420600,4343000,448800,11233400,7258800,4135400,8872200,57200,13979800,172400,8849000,3633000,1665300,2889400,9227600,3549200,3255600,14858300,2813700,589100,3824400,2100,28400,62225500,13654600,36325600,10823600,13105900,106489800,2839000,12135900,16116400,1847400,1526400,7246200,70400,66600,1516400,2105800,11887100,7062800,556700,20783500,1125100,6320300,1494600,22994800
2008-03-06,368424700,6128700,7411400,2515600,8970300,8343300,4503500,11680200,3784500,119400,8697200,5442600,3274700,14259800,136700,6139700,93400,8627900,3540000,566300,1976300,7266000,4166000,2350200,14925200,1259800,522200,3703400,0,29600,65547200,12137700,44356900,8413500,16193500,91127700,2228500,9050300,26882100,1224900,1378800,8415800,62000,24400,1166800,1818900,19194100,5934600,660100,19604000,970900,5212800,1571400,27516400
2008-03-07,307615700,5413600,7287400,3170400,10734900,10438100,9657100,13107900,4523600,162800,10073700,6961000,3040700,21006000,102800,5712600,128200,6860100,3117300,1058800,2197300,8168200,3456600,2982300,16127400,2056100,535600,4367100,6900,33900,73715200,14935800,43258700,9037600,17079800,77597600,2420600,10600800,19187500,1530200,1203100,6353300,95300,42400,1520000,2134900,13831500,4987600,692700,22971900,2870200,5038800,1252600,24346300
2008-03-10,249897200,6579600,8201400,2343500,13902400,9321000,9930500,11161900,9299600,466600,11678500,7146000,1885200,10947600,131400,4895700,85000,7403900,3040600,664600,1801000,7074600,3107800,2773100,15959200,2073500,494900,3321900,1200,51800,66986800,14229400,41281300,8086900,21098300,72175100,1832800,14315000,19402500,1569800,1240400,6022200,59500,1086400,1697600,2846000,10904400,5281600,663200,21618600,1280900,4682400,1618800,24325300
2008-03-11,290985800,5542400,9612200,2446400,16295900,9742900,14137400,14535200,7158000,331600,13736600,7690800,2839000,12457200,242800,5926300,63000,11446200,3486700,752300,1881200,7937600,3434000,2592800,17636100,1340700,555000,4361000,6200,43500,78159700,13635600,58401200,9430800,29294900,98740700,3424200,17990000,21448500,1143100,1932300,9955900,106900,1499200,1292000,2275200,18683200,4344200,710900,23805200,1514800,7013800,1684400,28354700
2008-03-12,264907300,3792000,8843200,1893700,12868800,7748800,8966800,9066300,7265400,363800,12005700,14346200,2027200,8649600,185400,6355100,49100,8877300,3435800,600500,1615400,5773800,3995600,2693600,13290400,1115600,452000,3010500,900,28900,53034800,13132300,44572400,8473000,16000700,75993800,1874000,15894200,18583000,1121100,2902700,5826600,114400,1132000,1257600,2180800,13409800,4399000,386000,12600400,1324200,5104300,1440400,26273700
2008-03-13,315525700,6096100,5875900,2763400,31329000,10707500,10850600,11119300,4354400,485600,13799000,8559700,2393400,13510800,107200,7257300,61100,13049600,3980500,738400,2217200,10660200,4198200,4627400,15437700,1371100,590200,5398800,2900,32600,66660600,15810500,45537900,19519800,19445600,84552200,2676700,10045000,30513200,1370300,2148700,6669500,134300,1959400,1385600,3327100,18103500,5037800,700400,20892700,1787100,5407900,2362400,29852900
2008-03-14,289160200,5003300,7040400,3372000,20226500,12420700,13225400,16861500,5049100,340200,16764200,8571100,4042100,12321600,110600,6801500,47900,12399500,4273400,755700,2182100,8327400,3879200,4271100,13135600,2336000,1243500,4956000,6200,43300,80049300,20835000,77776000,10936400,30910600,105214900,3019500,7955500,28874300,3997800,1679700,8727400,266200,2215100,1386400,2726700,24686900,6298000,1261300,15435600,2572900,6648000,1697000,27481400
